Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10243-1","Creator Expert","Modular Buildings Collection",2014,"Parisian Restaurant",5,2469,142.99,159.99,189.99,149.99,5702015122672,,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,309.3400,245.8400,"01/01/2014","31/12/2019"
"75267-1","Star Wars","The Mandalorian",2020,"Mandalorian Battle Pack",4,102,12.99,14.99,19.99,14.99,5702016617139,673419317245,19.1,14.1,4.6,0.12,"",0,0,0,,0,0,,,,,,,,,20.6400,17.6500,"01/01/2020","31/12/2021"
"21108-1","Ideas","Licensed",2014,"Ghostbusters Ecto-1",4,508,44.99,49.99,59.99,49.99,5702015287593,,35.4076,19.1008,5.8928,0.69,"",0,0,0,,0,0,,,,,,,,,111.0700,92.9700,"01/06/2014","31/12/2016"
"10255-1","Creator Expert","Modular Buildings Collection",2017,"Assembly Square",9,4002,259.99,299.99,379.99,299.99,5702015865272,673419264358,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,235.4000,196.3700,"01/01/2017","31/12/2023"
"10220-1","Advanced models","Vehicles",2011,"Volkswagen T1 Camper Van",,1334,84.99,119.99,129.99,97.47,5702015018333,673419145367,48,37.8,7.1,1.76,"",0,0,0,,0,0,,,,,,,,,139.3800,87.4600,"01/10/2011","31/12/2012"
"10232-1","Creator Expert","Modular Buildings Collection",2013,"Palace Cinema",6,2196,129.99,149.99,199.99,139.99,5702014971899,673419189729,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,300.7200,250.3800,"01/03/2013","31/12/2017"
"10218-1","Advanced models","Modular Buildings Collection",2011,"Pet Shop",4,2032,119.99,149.99,199.99,149.99,673419145350,673419145350,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,268.0700,250.3700,"01/06/2011","31/12/2016"
"75099-1","Star Wars","Episode VII",2015,"Rey's Speeder",2,193,19.99,19.99,24.99,26.99,5702015352611,673419231572,26.2128,14.097,4.8006,0.2313319,"",0,0,0,,0,0,,,,,,,,,24.5700,14.2100,"04/09/2015","31/12/2017"
"10246-1","Creator Expert","Modular Buildings Collection",2015,"Detective's Office",6,2262,142.99,159.99,199.99,149.99,5702015348386,,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,395.6500,285.4700,"01/01/2015","31/12/2018"
"8084-1","Star Wars","Episode V",2010,"Snowtrooper Battle Pack",4,74,9.99,11.99,14.99,,5702014601239,673419129015,19.1,14.1,4.6,0.11,"",0,0,0,,0,0,,,,,,,,,27.5000,13.0100,"01/01/2010","31/12/2011"
"21309-1","Ideas","NASA",2017,"NASA Apollo Saturn V",,1969,109.99,119.99,149.99,119.99,5702016000078,673419344968,37.8,48,11.2,,"",0,0,0,,0,0,,,,,,,,,146.4000,105.6100,"01/06/2017","31/12/2019"
"75280-1","Star Wars","The Clone Wars",2020,"501st Legion Clone Troopers",6,285,24.99,29.99,39.99,29.99,5702016617245,673419318457,26.2,19.1,6.1,0.31,"",0,0,0,,0,0,,,,,,,,,35.2200,29.8500,"01/08/2020","31/12/2022"
"8083-1","Star Wars","Episode V",2010,"Rebel Trooper Battle Pack",4,79,9.99,11.99,14.99,,5702014601222,673419129008,19.1,14.1,4.6,0.13,"",0,0,0,,0,0,,,,,,,,,25.9000,13.0800,"01/01/2010","31/12/2011"
"7913-1","Star Wars","The Clone Wars",2011,"Clone Trooper Battle Pack",4,85,11.99,12.99,14.99,,5702014734258,673419144490,19.1,14.1,4.6,0.1,"",0,0,0,,0,0,,,,,,,,,65.3900,31.6300,"01/01/2011","31/12/2012"
"75137-1","Star Wars","Episode V",2016,"Carbon-Freezing Chamber",3,231,19.99,24.99,29.99,29.99,5702015591829,673419247764,26.2128,19.1008,6.096,0.3810173,"",0,0,0,,0,0,,,,,,,,,48.0800,29.5900,"01/01/2016","31/12/2017"
